id;snapshot_date;player_name;profession;level;experience;created_at
e28d2ffc-4413-4ee1-a7f6-b3f6ecaad1f6;2026-01-31;Mirana Nightshade;Paladin;32;459376;2026-01-31 09:00:11.463875+00
3bea59fc-2052-4979-bb51-40b3c06670f1;2026-01-31;Weedhahaha;Knight;31;413646;2026-01-31 09:00:11.463875+00
e49f0697-cf06-400d-9587-a83e1f711623;2026-01-31;Amon;Royal Paladin;28;308480;2026-01-31 09:00:11.463875+00
93edea05-8280-40c8-a16f-eac47e2d1979;2026-01-31;Gnoll;Knight;28;308410;2026-01-31 09:00:11.463875+00
40bf7be6-7cba-4d93-881d-be9ae7dad22a;2026-01-31;Destroyer;Knight;27;280021;2026-01-31 09:00:11.463875+00
26d8bc29-6a5c-4d41-8cf4-2f3cd805ae65;2026-01-31;Boomer Hands;Master Sorcerer;27;278894;2026-01-31 09:00:11.463875+00
609c56cd-cbce-4eb3-a477-f2e807d132e1;2026-01-31;Icsea;Elder Druid;27;278180;2026-01-31 09:00:11.463875+00
41b4260e-78e9-495a-a030-52341d0e2871;2026-01-31;Ashlord;Paladin;27;265490;2026-01-31 09:00:11.463875+00
450472d8-6956-4ebd-85ec-8cd28b554de7;2026-01-31;Warcraft Three;Elder Druid;27;264697;2026-01-31 09:00:11.463875+00
3e5ab97d-f9ff-4dbb-a9a5-75ec661e0ad0;2026-01-31;Hermes Trismegistus;Master Sorcerer;25;225781;2026-01-31 09:00:11.463875+00
ba424945-b8e6-4ce0-bf09-d86597e63de0;2026-01-31;The Oracle;Elite Knight;25;206189;2026-01-31 09:00:11.463875+00
f947bd47-260d-454c-a51f-86be66fd7c5d;2026-01-31;Forfun;Elder Druid;25;204986;2026-01-31 09:00:11.463875+00
e6c4cfef-4eda-4672-aa3f-ea1e47ec6522;2026-01-31;Ondeth Waters;Knight;24;203107;2026-01-31 09:00:11.463875+00
1c84205d-593c-4dba-a716-951eb4ed7c28;2026-01-31;Aeryn;Paladin;24;180216;2026-01-31 09:00:11.463875+00
d5e52665-f5a7-436b-acff-aa511bbe9d28;2026-01-31;Golden;Paladin;23;167259;2026-01-31 09:00:11.463875+00
a6fa32e9-4c76-40cf-a5b0-e7d7b085c88b;2026-01-31;Pa La;Paladin;23;166786;2026-01-31 09:00:11.463875+00
8d97eca3-dd76-4488-951f-94f0a927ebd2;2026-01-31;Satoru Gojo;Knight;23;160051;2026-01-31 09:00:11.463875+00
027d5e33-d0b4-440b-8e14-558f4864c687;2026-01-31;Verm'onth;Paladin;23;159588;2026-01-31 09:00:11.463875+00
6a37148b-00ed-42e6-a7d7-3f04591daca4;2026-01-31;Honeybadger;Paladin;23;159245;2026-01-31 09:00:11.463875+00
d01d3164-3429-49c7-aa29-a1efcc93bd0c;2026-01-31;Gerthas Oceaneye;Master Sorcerer;23;157453;2026-01-31 09:00:11.463875+00
f6375f70-31ae-44ea-880d-97e60f97761c;2026-01-31;Turbo;Elder Druid;22;139180;2026-01-31 09:00:11.463875+00
